file	bytes	vertices	triangles	extents_xyz
aston-game.glb	355600	8665	17998	1.913,1.220,4.396
aston-lite.glb	93952	2060	5000	1.907,1.175,4.395
byd-game.glb	327864	6989	17920	2.111,1.697,4.383
byd-lite.glb	89136	1749	5013	2.072,1.634,4.367
diesel-thomas-proxy-game.glb	16684	416	752	1.950,2.080,3.820
diesel-thomas-proxy-lite.glb	16684	416	752	1.950,2.080,3.820
honda-game.glb	370864	9081	18715	1.880,1.291,4.394
honda-lite.glb	93716	2197	4797	1.857,1.285,4.386
nissan-game.glb	352356	9001	17278	1.856,1.197,4.399
nissan-lite.glb	109432	2670	5476	1.830,1.198,4.360
vw-game.glb	352296	8535	17896	2.026,1.899,4.430
vw-lite.glb	101264	2326	5256	2.000,1.895,4.408
